,station_name,station_latitude,station_longitude,yelp_id,poi_name,poi_title,poi_rating,poi_review_count,poi_price,poi_distance
53,Dunsmuir & Beatty,49.279764,-123.110154,-RStLKSNyENyOK5_kUEPtg,Prado Cafe,Cafes,4.0,90,2,306.2054611922299
54,Dunsmuir & Beatty,49.279764,-123.110154,zLQ9EQ8qAhEfXDc-2AieVQ,Catfe,Cafes,3.5,102,2,218.91246849657477
55,Dunsmuir & Beatty,49.279764,-123.110154,JMz8y1xj5JiUN1SH5WWBVg,Frankie's Italian Kitchen,Italian,3.5,147,2,297.5297972154353
56,Dunsmuir & Beatty,49.279764,-123.110154,R8A5hjAtOhGzEf1KBA6xyA,Shiny Tea,Bubble Tea,4.0,53,1,241.66171225427803
57,Dunsmuir & Beatty,49.279764,-123.110154,gS4qhjvrE-mNEo87cYS_Gw,The Pint Public House,Sports Bars,3.0,268,2,255.43732366432428
58,Dunsmuir & Beatty,49.279764,-123.110154,suqB3S2tjRqg_4UR7Ji3cA,Browns Socialhouse QE Theatre,Burgers,4.0,30,2,220.07697343059286
59,Dunsmuir & Beatty,49.279764,-123.110154,V-SmpIeLq-6VavwxiJIcnQ,JJ's Fine Dining,Cafes,4.5,16,2,205.57007591940118
60,12th & Yukon (City Hall),49.260599,-123.113504,pJge_LJ3NV8iQtrERe6AyQ,Indian Roti Kitchen,Indian,4.5,157,2,220.70909593720518
61,12th & Yukon (City Hall),49.260599,-123.113504,-HfxEoo3wIWFApvuDcHEGg,Passion8 Dessert Cafe,Desserts,4.0,206,2,263.8906680159568
62,12th & Yukon (City Hall),49.260599,-123.113504,i7ybVsoTF1L_Dh8TmJokQQ,Sharetea,Bubble Tea,4.0,44,1,115.45673161208161
63,12th & Yukon (City Hall),49.260599,-123.113504,NPOkjob3PFlNrvZ-GO3fqQ,The Firewood Café,Pizza,4.0,117,2,250.88756826786886
64,12th & Yukon (City Hall),49.260599,-123.113504,KN9zCrgwHj_iWQGEf3Vzyw,Tropika On Cambie,Malaysian,3.0,171,2,227.9327082300124
65,12th & Yukon (City Hall),49.260599,-123.113504,ovjumOkIMjG36JGdhdTNUA,New Sun Restaurant,Chinese,3.5,27,1,197.6437475803582
66,12th & Yukon (City Hall),49.260599,-123.113504,NAP1sxQaytZs9HPAP9o5cQ,Bubble Waffle Cafe,Bubble Tea,4.0,17,1,221.32710065618667
67,12th & Yukon (City Hall),49.260599,-123.113504,dh-h2jbsa2ElN5Db0vfotQ,On the Grind - Pedalling Epic Coffee,Coffee & Tea,5.0,4,1,76.17161008269866
68,12th & Yukon (City Hall),49.260599,-123.113504,-N9QgMA3urFjOx4J_nUeAg,Cultured Coffee & Tea,Coffee & Tea,3.5,15,2,221.32710065618667
69,12th & Yukon (City Hall),49.260599,-123.113504,pQsTrwmMl9qRlXaJ9_RCzw,Hot Delivery Chinese Food,Chinese,2.5,53,2,235.85248940293073
70,12th & Yukon (City Hall),49.260599,-123.113504,zAyRbzNdf8WZKPEz5omR_A,Kim Son Vietnamese,Vietnamese,3.5,11,1,221.32710065618667
71,12th & Yukon (City Hall),49.260599,-123.113504,bejZFTZusWxVngrsk4RE0Q,Old Country Pierogi,Polish,3.5,7,1,76.17161008269866
72,12th & Yukon (City Hall),49.260599,-123.113504,lI_MtIincsGqUGMmvzEZRw,V Yaletown,Canadian (New),3.5,6,2,201.12031473762966
73,12th & Yukon (City Hall),49.260599,-123.113504,E8_KAo1Wu6zRYbfy511I3w,Soup Zone,Specialty Food,3.5,10,2,221.32710065618667
74,12th & Yukon (City Hall),49.260599,-123.113504,N7MBweH9d9y-_zBYvnUbtQ,Sizzling Wok,Chinese,4.5,4,1,221.32710065618667
75,12th & Yukon (City Hall),49.260599,-123.113504,a2TPk6l9bnsXHjIwjZt0nw,A&W,Fast Food,2.0,10,1,221.32710065618667
76,12th & Yukon (City Hall),49.260599,-123.113504,1EmTFvc3EUWPHuVt_9UB0w,Hiro Sushi,Sushi Bars,4.0,1,1,193.82888484836653
77,8th & Ash,49.264215,-123.117772,AEOyRbQtYD3bmX1qJWvt4g,Peaceful Restaurant,Chinese,3.5,619,2,167.55774023267458
78,8th & Ash,49.264215,-123.117772,nkDZY5xqihF3XtZMzzfqqg,Hokkaido Ramen Santouka,Noodles,4.0,220,2,141.58577810528803
79,8th & Ash,49.264215,-123.117772,XAH2HpuUUtu7CUO26pbs4w,Saku,Japanese,4.0,197,2,148.69255173792007
80,8th & Ash,49.264215,-123.117772,UkSNdIF54dvas25eh_CmFw,Caffe Cittadella,Coffee & Tea,4.0,156,2,75.582475974626
81,8th & Ash,49.264215,-123.117772,bJKqZi70hu8g_ctZAAxtJw,Yolks,Coffee & Tea,3.5,343,2,151.79868082309005
82,8th & Ash,49.264215,-123.117772,X-73k3cwBjjc170MOdPa7A,Elysian Coffee,Coffee & Tea,3.5,208,2,127.98897634255272
83,8th & Ash,49.264215,-123.117772,u-tcnG8zdDG8QWYTctxyfg,Cactus Club Cafe,Canadian (New),3.5,140,2,104.52190649549027
84,8th & Ash,49.264215,-123.117772,UC53PBtr2nwO19AGB8Wn4w,Benkei Noodle Shop,Ramen,3.5,175,2,128.74889606126408
85,8th & Ash,49.264215,-123.117772,8GSg9GAax8rRmBCij1aneA,Lotus Seed Vegan,Vegan,4.0,124,2,256.55465522917314
86,8th & Ash,49.264215,-123.117772,d8ohqCaLAbF9qPN3d93JJQ,Sushi Dragon,Japanese,4.0,90,1,129.58712436195606
87,8th & Ash,49.264215,-123.117772,JcxSnoXt1q6LdSEgwJsdRQ,Rogue Kitchen & Wetbar,American (Traditional),3.5,142,2,129.93683605293683
88,8th & Ash,49.264215,-123.117772,JoaCHPW7XMzZJDAjFKl3jg,Elephant Garden Creamery,Food Stands,4.5,124,1,3516.10301885307
89,8th & Ash,49.264215,-123.117772,b_tRWRrMwOjS4-LXHaSwwg,Pepper Lunch,Japanese,3.5,79,2,200.7333578323006
90,8th & Ash,49.264215,-123.117772,YH_jjPE1ieLSGC-YqJk0Lw,Tractor,Breakfast & Brunch,4.0,25,2,90.11874715404758
91,8th & Ash,49.264215,-123.117772,y583PSvm5c6tZYmRiboYYA,A.Bento,Taiwanese,4.0,19,2,140.91206635650872
92,8th & Ash,49.264215,-123.117772,gnNl71R3D5TlMnqpzelSvg,K Cafe,Coffee & Tea,4.0,23,1,221.4778321988435
93,8th & Ash,49.264215,-123.117772,VBq1VBxijm99MKcr-Hcvpg,I Cafe,Chinese,3.0,63,2,215.2236948061081
94,8th & Ash,49.264215,-123.117772,MQK-AA9xOFFLKBfd7bVSZw,Red Truck Beer,Breweries,4.0,84,2,1619.1068439407175
95,8th & Ash,49.264215,-123.117772,zp4aLnaBd79eoxvXoMVj8g,Whole Food Market,Coffee & Tea,4.0,18,1,181.91521527575725
96,8th & Ash,49.264215,-123.117772,nkaimwjj00VtADPACQT3Qw,Blenz Coffee,Coffee & Tea,3.5,22,1,160.3304581235744
97,Stamps Landing,49.26893,-123.11813,7BIpo1jpmzyKlImIiZcvmQ,The Wicklow Public House,Pubs,3.5,87,2,51.657371475776365
98,Stamps Landing,49.26893,-123.11813,WzDJgVPU-11oe4B5GK4Akw,Branas Mediterranean Grill,Mediterranean,3.5,61,2,64.19855117395622
99,Stamps Landing,49.26893,-123.11813,g1WcsMOzDGOmDvA-y0xMvQ,Mahony,Irish Pub,2.5,159,2,31.997344338451136
100,Ontario & Seawall,49.271721,-123.104207,P8ivaSJ-_FmC01Z_2Npuig,CRAFT Beer Market,Beer Bar,3.5,514,2,215.2883240152688
101,Ontario & Seawall,49.271721,-123.104207,AdFx4Ih_onS0JOpE_gjePg,Tap & Barrel - Olympic Village,American (Traditional),3.0,445,2,141.40941929473772
102,Ontario & Seawall,49.271721,-123.104207,9R9yC5Z-5CmYOTDRMyFD7A,Terra Breads,Bakeries,4.0,133,2,190.5343632081914
103,Ontario & Seawall,49.271721,-123.104207,rLAFeOqX4go1jcN36IIIIQ,Gusto A Taste of Italy,Desserts,4.5,76,2,130.41792841302146
104,Ontario & Seawall,49.271721,-123.104207,uBrdXdwWDDpI0v6p44NpdA,Amato Gelato Cafe,Ice Cream & Frozen Yogurt,3.5,70,2,205.75668094247663
105,Ontario & Seawall,49.271721,-123.104207,2zeh8dTdftT7sVl2qDGC6w,Yandoux Patisserie,Patisserie/Cake Shop,3.5,46,1,272.75824774943163
106,Ontario & Seawall,49.271721,-123.104207,NHuuLXPWt9d9JXmptz3zjg,Urban Fare,Grocery,3.0,53,2,169.66102081184772
107,Ontario & Seawall,49.271721,-123.104207,C8K5GvhWNYY4zBijgekT3g,Tractor,Salad,3.0,47,2,256.77436078189413
108,Ontario & Seawall,49.271721,-123.104207,IBdHOY6rdXMV-eFt72YzJg,Triple O's,Burgers,2.5,13,1,175.621931380715
109,Ontario & Seawall,49.271721,-123.104207,yQs7xYkya4WECsh0PpIyOQ,Belvedere Cafe,Food Trucks,4.0,3,2,183.01409244441896
110,Ontario & Seawall,49.271721,-123.104207,08j7E4HP6Shlc3FyN4csjQ,Subway,Sandwiches,3.0,10,1,204.27897803228848
111,Canada Place,49.287214,-123.11287,4EV_ZcQmjAmP3pmO-_nb2A,Miku,Japanese,4.5,2115,3,33.86424239479857
112,Canada Place,49.287214,-123.11287,W2WQDWey3ycXfRdfDShuAA,ARC Restaurant,Canadian (New),4.0,163,3,62.883395769199176
113,Canada Place,49.287214,-123.11287,KwFvqBujA8e_vDVh7tueRg,Chickpea Food Truck,Food Trucks,4.0,83,2,117.17039960371055
114,Canada Place,49.287214,-123.11287,C58CusJWfndaAlyAoh6qhg,Rogue Kitchen & Wetbar,American (Traditional),3.5,393,2,232.73033927102412
115,Canada Place,49.287214,-123.11287,hoTL3Z09TEpIzWcX5YAk3w,Mink - A Chocolate Café,Chocolatiers & Shops,3.5,210,2,218.24884756926545
116,Canada Place,49.287214,-123.11287,9QJ5_oSo5dl5Xi8fZ_vddg,Palate Kitchen,Coffee & Tea,4.0,92,2,226.2403744770269
117,Canada Place,49.287214,-123.11287,cKJ2YNQ-fMlJS2eWS_N7jQ,Festal Paleo Cafe,Cafes,4.0,100,2,250.38936793740527
118,Canada Place,49.287214,-123.11287,tMFE2bfzviVyJpW-73U20Q,Lions Pub,Pubs,3.5,88,2,134.26967738249607
119,Canada Place,49.287214,-123.11287,_C85g_oWzlt55fsi_SknGw,Mahony's Tavern,Irish,3.0,215,2,256.9162468455736
120,Canada Place,49.287214,-123.11287,eWoyUHGA44U6jCdXDhRfIQ,Arturo's Mexico to Go,Mexican,3.5,42,1,93.78061965126436
121,Canada Place,49.287214,-123.11287,Q7DVB7X0194ohRLOlnz2_g,Oceans 999,Canadian (New),3.5,27,3,89.5282614228973
122,Canada Place,49.287214,-123.11287,18J36O-RtwKjemcr8AKadA,Hydra Estiatorio,Mediterranean,3.5,99,3,282.7872905519968
123,Canada Place,49.287214,-123.11287,10Nm1R0CTRNvpz3cQE4WJw,Japadog,Hot Dogs,4.0,24,1,209.81571769867378
124,Canada Place,49.287214,-123.11287,2ANDBIhkoO4SS07RK2GDyg,Freshii,Salad,2.5,70,1,126.27115021860358
125,Canada Place,49.287214,-123.11287,kmYutX-6Vo2EgvwAHU0c8w,Railtown Cafe,Cafes,3.5,21,1,239.95543593972343
126,Canada Place,49.287214,-123.11287,_nNUhU9r-93hCkMLljg7Jw,Dim Sum Express,Dim Sum,3.0,13,1,55.087454140110175
127,Canada Place,49.287214,-123.11287,O-ETJU2CUxesS_BaucWQCA,Fatburger,Fast Food,3.0,16,2,128.5845566394806
128,Canada Place,49.287214,-123.11287,9l0LUvWKca--55WPiakzbA,Starbucks,Coffee & Tea,3.0,18,1,83.22758209952865
129,Canada Place,49.287214,-123.11287,TWQoG0ZjeYRIaNsN9Pyt-Q,Coal Harbour Bar,Lounges,4.5,5,2,204.79418235389204
130,Canada Place,49.287214,-123.11287,ScFAsp8SrxfUgtHSpcP6mg,Starbucks,Coffee & Tea,3.5,16,2,215.71151016018948
131,Granville & Georgia,49.282409,-123.118541,VPqWLp9kMiZEbctCebIZUA,Medina Cafe,Breakfast & Brunch,4.0,2549,2,244.34306134099882
132,Granville & Georgia,49.282409,-123.118541,a7YBnJsJUSg5AnfDM9ZmYg,Japadog,Hot Dogs,4.0,813,1,238.40600113396735
133,Granville & Georgia,49.282409,-123.118541,EqvTmPu69ScPFotIz8h_xA,Mom's Grilled Cheese Truck,Sandwiches,4.0,193,1,100.94210639362566
134,Granville & Georgia,49.282409,-123.118541,3ByjrLF8nyArUxvO6vqJCw,Incognito Coffee,Coffee & Tea,5.0,146,2,244.86877131847854
135,Granville & Georgia,49.282409,-123.118541,8-l4x9EYK6JAbMycfrDU3Q,JINYA Ramen Bar - Vancouver,Ramen,4.0,409,2,236.92909434292332
136,Granville & Georgia,49.282409,-123.118541,hf4T7aZ67pk6e8r4juQbEA,Glowbal,Canadian (New),3.0,491,3,141.02071726867177
137,Granville & Georgia,49.282409,-123.118541,P_qoxhnolvyTF4nklac8iQ,Five Guys,Burgers,3.5,200,2,152.54119810489382
138,Granville & Georgia,49.282409,-123.118541,DuA0zfuD2wsuZbDdQj3I8w,The Keg Steakhouse + Bar - Dunsmuir,Seafood,3.5,177,3,196.39135717408897
139,Granville & Georgia,49.282409,-123.118541,gdUW6MpgUUzbQnhPA_9qdA,TacoFino,Mexican,4.0,158,1,169.47205602852526
140,Granville & Georgia,49.282409,-123.118541,rG0O37CBD7F-kHmIw7skQw,Eat Chicken Wraps,Food Trucks,4.5,61,1,174.56163682705576
141,Granville & Georgia,49.282409,-123.118541,VAaiyvD_9KMcg8BYaPX3OQ,Bel Café,Coffee & Tea,3.5,146,2,123.97098277442447
142,Granville & Georgia,49.282409,-123.118541,7XREJZ0nBFyxKO0tbMcLwg,Bistro Verde,Canadian (New),3.5,109,2,84.40459519440597
143,Granville & Georgia,49.282409,-123.118541,AF3GkHlS48ra00-LCi_ojA,Caffè Artigiano,Coffee & Tea,3.5,172,1,223.94241796722739
144,Granville & Georgia,49.282409,-123.118541,8Wzyn8c4OZ4OANfKQNVGyw,Notch8 Restaurant & Bar,Bars,3.5,169,3,213.2784384007061
145,Granville & Georgia,49.282409,-123.118541,FgATf88_fEkJKLWR2aKmew,1927 Lobby Lounge,Cocktail Bars,4.5,33,3,113.74053167042953
146,Granville & Georgia,49.282409,-123.118541,JiWMDZKt-2firk2bYrwiyA,The Lennox Pub,Pubs,3.5,135,2,170.43109659859917
147,Granville & Georgia,49.282409,-123.118541,DudKSeV0CYf3K9ApnihG2A,Paramount Fine Foods,Lebanese,3.5,148,2,227.7818373321891
148,Granville & Georgia,49.282409,-123.118541,r1zXupB1vrDB6WLzBf2FDA,Tractor,Salad,4.0,78,2,198.55417882470962
149,Granville & Georgia,49.282409,-123.118541,S-wgeQmV5v4g4wti05zUlQ,Tendon Kohaku,Japanese,4.0,72,2,278.95250284798493
150,Granville & Georgia,49.282409,-123.118541,ywQURBD1vMyztDfIeiWtGQ,Cafe Crepe,Creperies,3.0,265,2,126.91597856465631
151,Pender & Burrard,49.287097,-123.118551,hDQmMvYXpLVXwhXSu9HsOQ,Nightingale,Live/Raw Food,4.0,454,3,66.48328938767385
152,Pender & Burrard,49.287097,-123.118551,BdHvzCsxbLCErx36UcnMZQ,Meat & Bread,Sandwiches,4.0,212,1,32.448910009301656
153,Pender & Burrard,49.287097,-123.118551,aB_wfxQvgso67lzgrrfTuA,Cactus Club Cafe,Canadian (New),4.0,464,2,174.10688751863188
154,Pender & Burrard,49.287097,-123.118551,QzZfjFBnqtBZUUFlWVCd5w,Botanist,Canadian (New),4.5,349,3,189.62945472585665
155,Pender & Burrard,49.287097,-123.118551,A2bK8SMYMQfNs3WgICHZyw,JOEY Bentall One,Canadian (New),3.5,226,2,75.91390585682718
156,Pender & Burrard,49.287097,-123.118551,11DWf_QsuFIVaH26jEorow,Kamei Royale Japanese Restaurant,Japanese,3.5,193,2,66.60733827252086
157,Pender & Burrard,49.287097,-123.118551,WJJajrWufzhcnaP43jPIDA,Mr Shawarma,Middle Eastern,4.5,173,1,248.18909948896828
158,Pender & Burrard,49.287097,-123.118551,WPrY9K874pABkAqSxO17nw,Showcase Restaurant & Bar,Seafood,4.0,125,2,162.5357539816629
159,Pender & Burrard,49.287097,-123.118551,p3N67zgxmRsEyiO2S16aZw,Chewies Steam & Oyster Bar,Cajun/Creole,3.5,243,2,76.30813882437245
160,Pender & Burrard,49.287097,-123.118551,ykzWuSC4W5zFO6k0hdItcQ,Indian Delicacy,Indian,4.5,96,2,225.62885052067577
161,Pender & Burrard,49.287097,-123.118551,wXDA0Hr51efujG-9jxVA7Q,Giovane Caffè,Coffee & Tea,3.5,208,2,179.4078542874498
162,Pender & Burrard,49.287097,-123.118551,Sj94I82l_cUvFDkMiQXuLw,Koffie,Coffee & Tea,4.0,50,1,56.56188867802656
163,Pender & Burrard,49.287097,-123.118551,hoTL3Z09TEpIzWcX5YAk3w,Mink - A Chocolate Café,Chocolatiers & Shops,3.5,210,2,221.37581770184465
164,Pender & Burrard,49.287097,-123.118551,GCX0cJOKflUQLp2Q3P4Dag,Heritage Asian Eatery,Breakfast & Brunch,3.5,184,2,189.4140205345488
165,Pender & Burrard,49.287097,-123.118551,HJ7T272cVhD0l8b3C1qgNw,The Lobby Lounge and RawBar,Lounges,4.0,115,3,189.62945472585665
166,Pender & Burrard,49.287097,-123.118551,fypxzyH9vQ3yO8mBTmiMqA,Moose's Down Under,Pubs,4.0,140,2,228.11440495559728
167,Pender & Burrard,49.287097,-123.118551,b102gNXJjaOSsDc3G1ePTQ,Fujiya,Japanese,3.5,82,1,69.57876938671518
168,Pender & Burrard,49.287097,-123.118551,F2fDbqmEnD36w7eDKIIIoQ,Tractor Foods,Sandwiches,3.5,83,2,143.01498832043828
169,Pender & Burrard,49.287097,-123.118551,9QJ5_oSo5dl5Xi8fZ_vddg,Palate Kitchen,Coffee & Tea,4.0,92,2,227.7962763057347
170,Pender & Burrard,49.287097,-123.118551,oHLb2hTklvXCTSnMFpciog,Sandwich Plus,Sandwiches,4.5,37,1,208.3238338987412
171,Marinaside & Davie,49.273471,-123.118016,QmkGDL-8zexdKV3Xcn8ZYg,OEB Breakfast Co. Yaletown,Breakfast & Brunch,4.5,671,2,90.62803095163352
172,Marinaside & Davie,49.273471,-123.118016,gV9lrbWr1CE1Jl0E58UO2g,Minami,Japanese,4.0,736,3,284.4586430228625
173,Marinaside & Davie,49.273471,-123.118016,htvl5L_V-zKN0UvUgP60PQ,Robba da Matti,Italian,4.0,483,3,294.7074943693437
174,Marinaside & Davie,49.273471,-123.118016,yRjZg5jkJP6fZDxl15BWQA,Provence Marinaside,Seafood,3.5,355,3,114.86301675201148
175,Marinaside & Davie,49.273471,-123.118016,upa_mgUMGWihLKC0D5vNMw,La Terrazza,Italian,3.5,138,3,176.84086064830888
176,Marinaside & Davie,49.273471,-123.118016,yg2s2EA9Lnepuz36N7n_0g,Yaletown Brewing Company,American (Traditional),3.0,456,2,323.97073523013347
